unique_session_id,sessionQualityDim,transaction_revenue,checkout_progress
54210344281424350671500398705,86,,3
3652184996607787481500947805,93,,3
2391691201224287851501166549,81,,3
40128962942972744921500228545,86,,3
77499247625140918541501524727,94,,3
12666710896791414161501563747,90,,3
2854927346594948361499646436,66,,3
84298627896324322111500337209,78,,3
74843898247087055771499971866,93,,3
40678364409883080481499190264,98,,3
13818471025641117501501094139,80,,3
13249394436800723021501090784,61,,3
42835082356779199031500156876,88,,3
15475735308795854311500991262,80,,3
01829588746941592281500949920,96,,3
77125060168658868291501195089,85,,3
07746061603011974391500110400,66,,3
10803835550713224541499398135,86,,3
56995405827031466761501494056,74,,3
95485796762073226321500319111,73,,3
77943272613801916951500937804,79,,3
70234487807589046421499747997,86,,3
89859509513264800211499869972,93,,3
95600447465240909391500240372,76,,3
41845638062158163111501194640,69,,3
752860838707943041501636898,76,,3
2479396735445404631500672363,82,,3
93603357250814401621499537076,68,,3
14568438648059632231500580942,75,,3
41570660311343024191500093443,66,,3
06161300513995714471499863709,77,,3
21977323577277092091500952904,79,,3
34838777770083441781499353512,83,,3
43221415557301203321500993989,78,,3
32721976430258122931500657911,71,,3
80637745818626204471500912610,63,,3
77216014044182007861499446040,64,,3
0669888208669093281500864189,74,,3
13710786877993729531501072984,70,,3
73822080299765616011501379225,63,,3
29207545557447841401501287499,78,,3
69602405315919567651500655365,75,,3
10523431485894140061500407981,80,,3
21339714861159146671500058457,66,,3
29331151910126400151500338593,76,,3
71782714115539999361501592064,82,,3
32210325599324536451501554021,73,,3
9349125091027194371500303074,72,,3
83304700063220789191500656476,65,,3
4886449612577159561500315633,88,,3
1201015088439517571500395391,68,,3
44772158160706239041500063328,74,,3
51123691225449878221499479090,78,,3
9212070626737136131500858235,94,,3
59765942626795213741501120280,66,,3
09718097560992764151499697728,78,,3
24440577028452476571500679230,75,,3
14937414814972563311501611278,61,,3
30585188305203656141501615230,66,,3
73243767002428746771499292451,73,,3
58665185345571050781501092628,65,,3
06477019405447238911499225754,63,,3
51351613786590823521500004035,63,,3
2641011108218833041500319375,88,,3
05345130597696678071499810838,74,,3
01420822021216397581501014468,80,,3
21805153691675025201499969970,71,,3
09980664423966648161499230093,95,,3
64124090965336155191499355143,95,,3
80084634400184570261500435612,72,,3
81494366599802271591500354469,65,,3
45851951206346591911501369293,78,,3
94263584810655656311499296797,66,,3
75795171754554725401501180907,78,,3
5273765391074772401500267464,76,,3
84574861195583194911500906035,64,,3
94219977128401692431500302618,99,,3
1992335154444956761499805528,89,,3
80055338157427325351500473755,61,,3
2391691201224287851500675530,69,,3
97547679980663533091501636424,86,,3
3303900938655825391501250786,79,,3
38612251076436038301500493045,85,,3
95041804098302033431499291525,82,,3
92506336863920686531500905434,64,,3
53453597328223425711499434552,71,,3
44669949763010675021499716782,89,,3
20886260335329491931501267645,68,,3
8069081635775122401499371288,77,,3
84885640563341185491500752089,92,,3
06571188642075664901500564533,93,,3
3324943083878448311499844531,84,,3
03726246129838176501500418416,82,,3
79282992325626350961499342984,86,,3
63853467166692530891499454656,70,,3
4814665172326263011499186288,76,,3
52006772924656781041501523680,78,,3
56487788516973643931500688685,90,,3
49338141985857203651500930623,89,,3
29504288622304533651501285877,71,,3
91214153667051768781500932809,89,,3
90125057038279304961499220193,96,,3
22275985101873487461501179108,92,,3
62173411485386454291499528890,78,,3
79266885613029396311500958696,67,,3
