product_views,potential_orders,quantity_product_added,conversion_rate,v2ProductName
683,240,1428,0.35139092240117131,Google 25 oz Clear Stainless Steel Bottle
3667,1282,1622,0.34960458140169076,Google Men's Bike Short Sleeve Tee Charcoal
629,194,1101,0.30842607313195547,Android Men's Paradise Short Sleeve Tee Olive
6897,1524,1856,0.22096563723357981,BLM Sweatshirt
147729,22993,140734,0.15564310324986969,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel
1574,207,1284,0.13151207115628971,Google Leather Journal-Black
1498,195,1406,0.130173564753004,Google Leather Journal-Brown
154713,19357,30201,0.12511553650953702,Nest® Cam Outdoor Security Camera - USA
20584,2461,41975,0.11955888068402643,Recycled Paper Journal Set
153091,17980,10000025529,0.11744648607690851,Nest® Cam Indoor Security Camera - USA
