num_duplicate_rows,fullVisitorId,channelGrouping,time,country,city,totalTransactionRevenue,transactions,timeOnSite,pageviews,sessionQualityDim,date,visitId,type,productRefundAmount,productQuantity,productPrice,productRevenue,productSKU,v2ProductName,v2ProductCategory,productVariant,currencyCode,itemQuantity,itemRevenue,transactionRevenue,transactionId,pageTitle,searchKeyword,pagePathLevel1,eCommerceAction_type,eCommerceAction_step,eCommerceAction_option
4,3244918821752957507,Referral,422870,United States,not available in demo dataset,201000000,1,585,28,,20160923,1474657463,PAGE,,,50000000,,GGOEGGCX056499,Gift Card - $50.00,(not set),Single Option Only,USD,,,,,Payment Method,,/payment.html,5,2,Payment
2,6029872331740528503,Organic Search,277111,United States,Ann Arbor,,,320,19,,20161013,1476412789,EVENT,,,1990000,,GGOEGFKQ020399,Google Laptop and Cell Phone Stickers,Home/Accessories/Stickers/,(not set),,,,,,Stickers | Accessories | Google Merchandise Store,,/google+redesign/,1,1,
2,1818470577834542256,Social,227002,United States,(not set),,,860,28,,20170202,1486086807,PAGE,,,17990000,,GGOEACCQ017299,Android Lunch Kit,Home/Shop by Brand/Android/,(not set),,,,,,Android | Shop by Brand | Google Merchandise Store,,/store.html/,2,1,
11,8436426603099391262,Referral,968671,United States,Ann Arbor,829000000,1,969,75,,20160901,1472781277,PAGE,,1,25000000,25181818,GGOEGGCX056299,Gift Card - $25.00,(not set),Single Option Only,USD,,,829000000,ORD201609011752,Checkout Confirmation,,/ordercompleted.html,6,1,
6,7360768108223062056,Organic Search,35109,United States,Sunnyvale,158000000,1,869,32,,20160914,1473902004,PAGE,,1,25000000,,GGOEGGCX056299,Gift Card - $25.00,(not set),Single Option Only,USD,,,,,Checkout Your Information,,/yourinfo.html,5,1,Billing and Shipping
2,1734632524061480646,Social,365860,United States,Seattle,,,439,25,,20160927,1474975784,EVENT,,,21990000,,GGOEYHPA003510,YouTube Trucker Hat,Home/Apparel/,(not set),,,,,,Apparel,,/google+redesign/,1,1,
6,7360768108223062056,Organic Search,107121,United States,Sunnyvale,158000000,1,869,32,,20160914,1473902004,PAGE,,,25000000,,GGOEGGCX056299,Gift Card - $25.00,(not set),Single Option Only,USD,,,,,Checkout Review,,/revieworder.html,5,3,Review
2,5293225320931221982,Organic Search,544415,India,not available in demo dataset,,,970,24,,20170411,1491924652,EVENT,,,39990000,,GGOEGEVA022399,Micro Wireless Earbud,Home/Electronics/Audio/,(not set),,,,,,Audio | Electronics | Google Merchandise Store,,/store.html,1,1,
2,8942866004645538967,Direct,208627,United States,not available in demo dataset,3775800000,7,6427,343,,20170320,1489999542,EVENT,,,21990000,,GGOEGAAX0590,Google Men's Short Sleeve Performance Badge Tee Navy,Home/Apparel/Men's/Men's-Performance Wear/,(not set),,,,,,Men's Performance Wear | Apparel | Google Merchandise Store,,/google+redesign/,1,1,
2,2011602129751972424,Organic Search,169554,United States,San Francisco,,,176,9,,20161030,1477812608,PAGE,,,21990000,,GGOEGCMB020932,Suitcase Organizer Cubes,Home/Bags/,(not set),,,,,,Bags | Google Merchandise Store,,/google+redesign/,2,1,
2,4089398984309263376,Direct,157590,India,Bengaluru,,,158,3,,20170311,1489227939,PAGE,,,1990000,,GGOEGFKQ020399,Google Laptop and Cell Phone Stickers,Home/Accessories/Stickers/,(not set),USD,,,,,Stickers | Accessories | Google Merchandise Store,,/google+redesign/,0,1,
2,0765879673447706851,Organic Search,231786,Canada,not available in demo dataset,,,232,8,,20170318,1489849361,EVENT,,,18990000,,GGOEGAAX0734,Google Men's Short Sleeve Hero Tee Heather,Home/Apparel/Men's/Men's-T-Shirts/,(not set),,,,,,Men's T-Shirts | Apparel | Google Merchandise Store,,/google+redesign/,1,1,
5,7838650270550176403,Paid Search,1720495,United States,San Francisco,251000000,1,1721,27,,20161230,1483148696,PAGE,,1,50000000,50200000,GGOEGGCX056499,Gift Card - $50.00,Gift Cards,Single Option Only,USD,,,251000000,ORD201612301109,Checkout Confirmation,,/ordercompleted.html,6,1,
2,6720484774866093005,Organic Search,112352,Canada,Montreal,,,349,13,,20170614,1497467275,PAGE,,,16990000,,GGOEGAAX0279,Google Women's Short Sleeve Hero Tee White,${escCatTitle},(not set),,,,,,Store search results,,/asearch.html/,2,1,
